taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
wsBodyConstrained,B,23.34584741381959,25.395879892618304,22.653835867200183
wsBodyConstrained,B,20.388254238593223,21.967333335422484,19.88383977952558
wsBodyConstrained,B,23.538940252280998,22.78982367495021,22.894779769274905
wsBodyConstrained,B,23.670455586424925,23.063049853440525,23.097189623286102
wsBodyConstrained,B,23.677594368595326,23.790702149193944,22.943506949784922
wsBodyConstrained,B,21.82403826648214,22.501805096940245,21.21215425092301
wsBodyConstrained,B,23.782848242551125,23.071069958679264,23.051352968738534
wsBodyConstrained,B,20.64587854572498,20.46774719006498,20.147644030477064
wsBodyConstrained,B,13.78662039720623,17.01424566347846,13.427195326770608
wsBodyConstrained,B,19.987634978727804,22.53861933034649,19.54813952408689
wsBodyConstrained,B,23.019489197971172,22.77049878885359,22.132371210799104
wsBodyConstrained,B,23.37498922486702,22.605470476239322,22.460062057059286
wsBodyConstrained,B,20.86010426598921,21.416810478019382,20.291294858317507
wsBodyConstrained,B,20.66006475364298,22.61481528911851,19.982327384175125
wsBodyConstrained,B,22.53192532709596,20.936091421471442,21.90994902733686
wsBodyConstrained,B,22.956683933825328,21.91342857048461,22.309907270130033
wsBodyConstrained,B,16.880187192989393,22.153253291502793,16.573290335622467
wsBodyConstrained,B,17.502607398470264,19.881200713305788,17.15907091452984
wsBodyConstrained,B,18.0557026276136,19.05327668661726,17.5691546010582
wsBodyConstrained,B,18.863016011845836,19.45133137346601,18.394176135103866
wsBodyConstrained,B,22.183066360290233,23.37740957225455,21.599900989139325
wsBodyConstrained,B,22.53809443121273,23.26629582014504,21.970219818225452
wsBodyConstrained,B,20.56925870470665,20.499283346402194,20.0051562420479
wsBodyConstrained,B,22.794742097733998,22.45207825007234,22.055490625773256
wsBodyConstrained,B,21.87028422249092,23.908094796218393,21.432787283011248
wsBodyConstrained,B,19.139359735828478,20.447459480332824,18.562506273963294
wsBodyConstrained,B,19.921112491162834,19.78668585117488,19.39141741131256
wsBodyConstrained,B,19.291251392423106,18.86557148868287,18.77315616314105
ssWalking,A,65.9687343236903,61.10427874201585,88.12026641247913
ssWalking,A,59.5962095697191,54.91009228780445,85.77183463252894
ssWalking,A,60.383886665328056,57.97013614044934,87.88676517885938
ssWalking,A,56.61863597271045,54.563039916828004,90.82022190009717
ssWalking,A,60.79479705967454,60.73221357452432,89.74850418631948
ssWalking,A,60.31011127178687,58.84598577012603,89.46811013539953
ssWalking,A,58.353363207813075,58.20514796822697,86.67181468916442
ssWalking,A,58.251208054238674,58.396941791343245,83.16832349926784
ssWalking,A,58.25925487280699,58.82922955453636,86.2426382704535
